ads_id,prop_name,completion_year,location,property_type
100323185,The Hipster @ Taman Desa,2022,Kuala Lumpur - Taman Desa,Condominium
100203973,Segar Courts,,Kuala Lumpur - Cheras,Condominium
100323128,Pangsapuri Teratak Muhibbah 2,,Kuala Lumpur - Taman Desa,Apartment
100191767,Sentul Point Suite Apartment,2020,Kuala Lumpur - Sentul,Apartment
97022692,Arte Mont Kiara,,Kuala Lumpur - Mont Kiara,Service Residence
100322897,Residensi Vista Wirajaya,,Kuala Lumpur - Setapak,Apartment
100322962,Sky Meridien,,Kuala Lumpur - Sentul,Service Residence
100322885,Arte Plus Jalan Ampang,2018,Kuala Lumpur - Ampang,Service Residence
100322866,Nova I,2014,Kuala Lumpur - Segambut,Apartment
100322863,Sofiya Residences,,Kuala Lumpur - Desa ParkCity,Condominium
100322813,The Park Sky Residence @ Bukit Jalil City,2019,Kuala Lumpur - Bukit Jalil,Service Residence
100322809,PV9 Residences @ Taman Melati,2022,Kuala Lumpur - Setapak,Service Residence
100322802,Arte Plus Jalan Ampang,2018,Kuala Lumpur - Ampang,Service Residence
87950203,Maxim Citilights,2017,Kuala Lumpur - Sentul,Service Residence
100239196,Greenview Apartments,,Kuala Lumpur - Kepong,Apartment
100322320,Legasi Kampong Bharu,2020,Kuala Lumpur - KL City,Apartment
100322311,Legasi Kampong Bharu,2020,Kuala Lumpur - KL City,Apartment
100322212,Majestic Maxim,2021,Kuala Lumpur - Cheras,Service Residence
100273500,Desa Villas,,Kuala Lumpur - Wangsa Maju,Condominium
100231953,East Side One Ampang Avenue,,Kuala Lumpur - Ampang,Condominium
100322123,Majestic Maxim,2021,Kuala Lumpur - Cheras,Service Residence
100310024,Majestic Maxim,2021,Kuala Lumpur - Cheras,Service Residence
100310022,Majestic Maxim,2021,Kuala Lumpur - Cheras,Service Residence
100290514,Majestic Maxim,2021,Kuala Lumpur - Cheras,Service Residence
100267049,Sri Penara,,Kuala Lumpur - Cheras,Apartment
100201993,Prisma Cheras,,Kuala Lumpur - Cheras,Condominium
100295196,Menara Alpha,,Kuala Lumpur - Wangsa Maju,Condominium
100322088,Berlian Residence @ Setapak,,Kuala Lumpur - Setapak,Condominium
100322086,28 Dutamas,2017,Kuala Lumpur - Solaris Dutamas,Condominium
100322100,28 Dutamas,2017,Kuala Lumpur - Solaris Dutamas,Condominium
100322078,Pangsapuri Melur (Sentul),2006,Kuala Lumpur - Sentul,Apartment
100202252,Residensi Vista Wirajaya,,Kuala Lumpur - Setapak,Apartment
100136931,Bayu Sentul Condominium,2015,Kuala Lumpur - Sentul,Condominium
100234716,Flexus Signature Suites,,Kuala Lumpur - Jalan Kuching,Studio
100322047,Menjalara 18,,Kuala Lumpur - Bandar Menjalara,Condominium
93075352,G Residence @ Desa Pandan,2015,Kuala Lumpur - Desa Pandan,Service Residence
99876261,Greenpark,1999,Kuala Lumpur - Old Klang Road,Condominium
