ads_id,rooms,parking,bathroom,size,furnished,monthly_rent,facilities,additional_facilities
100323185,5,2,6,1842 sq.ft.,Fully Furnished,"RM4,200 ","Minimart, Gymnasium, Security, Playground, Swimming Pool, Parking, Lift, Barbeque area, Multipurpose hall, Jogging Track","Air-Cond, Cooking Allowed, Washing Machine"
100203973,3,1,2,1170 sq.ft.,Partially Furnished,"RM2,300 ","Playground, Parking, Barbeque area, Security, Jogging Track, Swimming Pool, Gymnasium, Lift, Sauna","Air-Cond, Cooking Allowed, Near KTM/LRT"
100323128,3,,2,650 sq.ft.,Fully Furnished,"RM1,000 ","Minimart, Jogging Track, Lift, Swimming Pool",
100191767,2,1,2,743 sq.ft.,Partially Furnished,"RM1,700 ","Parking, Playground, Swimming Pool, Squash Court, Security, Minimart, Gymnasium, Lift","Cooking Allowed, Near KTM/LRT, Washing Machine"
97022692,1,1,1,494 sq.ft.,Not Furnished,"RM1,299 ","Parking, Security, Lift, Swimming Pool, Playground, Gymnasium, Barbeque area, Minimart, Multipurpose hall, Club house, Jogging Track",Air-Cond
100322897,3,1,2,884 sq.ft.,Partially Furnished,"RM1,500 ","Parking, Security, Lift, Swimming Pool, Playground, Multipurpose hall","Cooking Allowed, Near KTM/LRT"
100322962,3,2,2,982 sq.ft.,Fully Furnished,"RM2,900 ","Parking, Security, Lift, Swimming Pool, Playground, Gymnasium, Barbeque area, Minimart, Multipurpose hall, Jogging Track","Air-Cond, Cooking Allowed, Near KTM/LRT, Washing Machine"
100322885,1,1,1,700 sq.ft.,Fully Furnished,"RM1,550 ","Parking, Gymnasium, Playground, Security, Lift, Swimming Pool, Multipurpose hall","Air-Cond, Cooking Allowed, Near KTM/LRT, Washing Machine"
100322866,2,1,1,750 sq.ft.,Fully Furnished,"RM1,400 ","Playground, Security, Parking, Lift, Swimming Pool","Air-Cond, Cooking Allowed, Washing Machine, Near KTM/LRT"
100322863,3,1,2,862 sq.ft.,Partially Furnished,"RM1,350 ","Playground, Security, Parking, Lift, Swimming Pool, Gymnasium","Air-Cond, Cooking Allowed, Near KTM/LRT"
100322813,2,,2,868 sq.ft.,Partially Furnished,"RM2,600 ","Parking, Playground, Swimming Pool, Security, Multipurpose hall, Gymnasium, Jogging Track","Cooking Allowed, Near KTM/LRT"
100322809,4,2,2,1100 sq.ft.,Partially Furnished,"RM2,000 ","Parking, Security, Lift, Swimming Pool, Playground, Gymnasium, Barbeque area, Minimart, Multipurpose hall","Air-Cond, Cooking Allowed, Near KTM/LRT, Washing Machine"
100322802,1,1,1,700 sq.ft.,Fully Furnished,"RM1,500 ","Gymnasium, Jogging Track, Playground, Parking, Security, Lift, Swimming Pool, Sauna, Barbeque area, Minimart, Multipurpose hall, Club house, Squash Court","Air-Cond, Cooking Allowed, Washing Machine, Near KTM/LRT"
87950203,3,1,2,1009 sq.ft.,Fully Furnished,"RM1,300 ","Minimart, Jogging Track, Playground, Swimming Pool, Multipurpose hall, Security, Lift, Parking, Gymnasium, Sauna, Barbeque area","Air-Cond, Cooking Allowed, Washing Machine"
100239196,5,,2,855 sq.ft.,Partially Furnished,"RM1,000 ","Security, Parking, Lift","Cooking Allowed, Near KTM/LRT, Internet"
100322320,3,1,2,950 sq.ft.,Fully Furnished,"RM3,200 ","Lift, Squash Court, Jogging Track, Gymnasium, Playground, Security, Tennis Court, Swimming Pool, Parking, Minimart, Sauna, Barbeque area, Multipurpose hall","Air-Cond, Cooking Allowed, Near KTM/LRT, Washing Machine, Internet"
100322311,3,1,2,950 sq.ft.,Fully Furnished,"RM3,200 ","Lift, Squash Court, Jogging Track, Gymnasium, Playground, Security, Tennis Court, Swimming Pool, Parking, Minimart, Sauna, Barbeque area, Multipurpose hall","Air-Cond, Cooking Allowed, Near KTM/LRT, Washing Machine, Internet"
100322212,2,2,2,650 sq.ft.,Not Furnished,"RM1,400 ","Parking, Gymnasium, Jogging Track, Lift, Barbeque area, Security, Swimming Pool, Playground","Air-Cond, Near KTM/LRT, Cooking Allowed"
100273500,4,2,2,1784 sq.ft.,Not Furnished,"RM2,500 ","Parking, Security, Lift, Gymnasium","Air-Cond, Cooking Allowed"
100231953,3,1,2,1100 sq.ft.,Fully Furnished,"RM1,800 ","Gymnasium, Minimart, Tennis Court, Squash Court, Sauna, Security, Swimming Pool, Parking",
100322123,2,1,2,650 sq.ft.,Not Furnished,"RM1,099 ","Playground, Lift, Barbeque area, Security, Parking, Jogging Track, Gymnasium, Swimming Pool","Air-Cond, Cooking Allowed, Near KTM/LRT"
100310024,2,1,2,650 sq.ft.,Partially Furnished,"RM1,099 ","Security, Swimming Pool, Parking, Jogging Track, Barbeque area, Playground, Gymnasium, Lift","Air-Cond, Cooking Allowed, Near KTM/LRT, Washing Machine"
